Weight,ID,starttime,endtime,profile_GOR,profile_gross_household,responsible,consent,squarefootage,bedrooms,whenbuilt,profile_house_tenure,address_change_time,profile_household_size,under16sinhousehold,over75sinhousehold,EPCrating,SchemesAwareness_1,SchemesAwareness_2,SchemesAwareness_3,SchemesAwareness_4,SchemesAwareness_5,SchemesAwareness_6,SchemesAwareness_7,CircumstancesLikelihood_1,CircumstancesLikelihood_2,CircumstancesLikelihood_3,CircumstancesLikelihood_4,CircumstancesLikelihood_5,AdoptionLikelihood,AdoptionLikelihood_1,AdoptionLikelihood_2,AdoptionLikelihood_3,AdoptionLikelihood_4,AdoptionLikelihood_5,adoptedmeasures_1,adoptedmeasures_2,adoptedmeasures_3,adoptedmeasures_4,adoptedmeasures_5,adoptedmeasures_6,adoptedmeasures_7,adoptedmeasures_8,adoptedmeasures_9,adoptedmeasures_10,adoptedmeasures_11,adoptedmeasures_12,adoptedmeasures_13,adoptedmeasures_14,house_type,housetype_nomiss,_mi_miss,_1_house_type2,_1_whenbuilt2,_1_bedrooms,_1_hhsize,_1_old75,_1_minor16,_1_income,_1_address_change_time,age,profile_gender,profile_socialgrade,profile_education_level,pastvote_ge_2019,_merge15,income,tenure,minor16,old75,hhsize,whenbuilt2,awarenessum,house_type2,treated,treatedsum,sumlowcost,lowcostdummy,sumhighcost,highcostdummy,treatedmulti
0.734342819,1,7/26/2022,7/26/2022,5,17.0,1,1,6,4.0,2,1,7,2,1,1,9,0,0,0,0,0,0,0,7,4,8,7,8,1,8,7,4,8,8,1,0,0,0,0,0,1,0,0,0,0,1,1,0,2.0,Semi detached,1,2.0,2.0,4.0,2.0,0.0,0.0,7.0175986,7.0,73,1,1,9,1.0,Matched (3),,1.0,0,0,2.0,2.0,0,2.0,1,4,2,1,2,1,3.0
0.872284031,2,7/27/2022,7/27/2022,8,7.0,1,1,3,4.0,2,1,7,4,1,1,9,0,0,0,0,1,1,0,7,7,9,6,6,1,7,7,10,5,8,1,1,0,0,1,0,1,0,0,1,0,1,1,0,2.0,Semi detached,0,2.0,2.0,4.0,4.0,0.0,0.0,7.0,7.0,54,1,2,14,1.0,Matched (3),7.0,1.0,0,0,4.0,2.0,2,2.0,1,7,3,1,4,1,3.0
0.719304574,3,7/26/2022,7/26/2022,2,17.0,1,1,2,3.0,1,1,7,2,1,1,9,0,0,0,0,0,1,0,3,3,3,2,3,1,4,1,9,7,8,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2.0,Semi detached,1,2.0,1.0,3.0,2.0,0.0,0.0,0.9174966,7.0,66,0,6,14,1.0,Matched (3),,1.0,0,0,2.0,1.0,1,2.0,1,2,1,1,1,1,3.0
0.788278545,4,7/28/2022,7/28/2022,5,9.0,1,1,6,5.0,3,2,7,2,1,1,9,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,11,1,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.0,Detached,0,1.0,3.0,5.0,2.0,0.0,0.0,9.0,7.0,67,1,1,16,1.0,Matched (3),9.0,1.0,0,0,2.0,3.0,4,1.0,1,1,0,0,1,1,2.0
0.633169147,5,7/26/2022,7/26/2022,8,4.0,1,1,3,3.0,3,1,6,2,1,1,9,0,1,0,0,1,1,0,3,3,3,3,3,1,1,1,7,5,7,0,0,0,0,0,0,1,0,0,0,0,1,0,0,6.0,Bungalow,0,6.0,3.0,3.0,2.0,0.0,0.0,4.0,6.0,71,0,3,9,98.0,Matched (3),4.0,1.0,0,0,2.0,3.0,3,6.0,1,2,1,1,1,1,3.0
2.336272609,6,7/27/2022,7/27/2022,7,17.0,1,1,6,4.0,2,1,7,3,1,1,9,0,0,0,0,0,1,0,9,9,11,6,6,1,8,6,11,11,8,1,1,0,1,0,0,1,0,0,0,0,0,0,0,2.0,Semi detached,1,2.0,2.0,4.0,3.0,0.0,0.0,7.771968,7.0,62,1,6,9,99.0,Matched (3),,1.0,0,0,3.0,2.0,1,2.0,1,4,2,1,2,1,3.0
1.06192996,7,7/26/2022,7/26/2022,4,12.0,1,1,2,4.0,2,2,6,2,1,1,5,0,0,0,0,0,1,0,10,9,11,8,7,1,3,9,11,11,11,1,0,0,0,1,0,0,0,0,0,0,0,1,0,6.0,Bungalow,0,6.0,2.0,4.0,2.0,0.0,0.0,12.0,6.0,38,1,3,15,2.0,Matched (3),12.0,1.0,0,0,2.0,2.0,1,6.0,1,3,1,1,2,1,3.0
0.674175619,8,7/26/2022,7/26/2022,6,14.0,1,1,5,6.0,4,1,7,2,1,1,9,0,0,0,0,1,1,0,5,5,5,6,6,1,9,5,11,7,5,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1.0,Detached,0,1.0,4.0,6.0,2.0,0.0,0.0,14.0,7.0,60,0,1,16,1.0,Matched (3),14.0,1.0,0,0,2.0,4.0,2,1.0,1,3,1,1,2,1,3.0
0.878238611,9,7/26/2022,7/26/2022,3,14.0,1,1,5,7.0,3,1,6,2,1,1,9,0,1,0,0,1,0,0,7,8,9,9,8,1,8,4,9,6,11,0,0,1,1,0,0,1,0,0,0,0,0,1,0,1.0,Detached,0,1.0,3.0,7.0,2.0,0.0,0.0,14.0,6.0,61,1,1,12,1.0,Matched (3),14.0,1.0,0,0,2.0,3.0,2,1.0,1,4,1,1,3,1,3.0
1.365776257,10,7/26/2022,7/26/2022,4,13.0,1,1,4,5.0,4,2,7,3,1,1,4,0,0,0,0,1,0,0,7,6,8,8,7,1,8,7,10,9,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0,Detached,0,1.0,4.0,5.0,3.0,0.0,0.0,13.0,7.0,57,1,4,9,1.0,Matched (3),13.0,1.0,0,0,3.0,4.0,1,1.0,0,0,0,0,0,0,0.0
1.007384787,11,7/29/2022,7/29/2022,6,14.0,1,1,4,5.0,2,2,2,1,1,1,9,0,0,0,0,1,1,0,4,7,5,11,9,1,8,4,10,6,5,1,0,0,1,0,0,0,0,0,1,0,0,1,1,6.0,Bungalow,0,6.0,2.0,5.0,1.0,0.0,0.0,14.0,2.0,58,1,2,17,3.0,Matched (3),14.0,1.0,0,0,1.0,2.0,2,6.0,1,5,1,1,4,1,3.0
